eigenvalue,variance.percent,cumulative.variance.percent
3.553010987429768,35.530109874297914,35.530109874297914
1.8510826020227482,18.510826020227604,54.04093589452552
1.2135498861579692,12.135498861579771,66.1764347561053
1.0769162368508198,10.769162368508269,76.94559712461356
0.7585119050425508,7.585119050425558,84.53071617503912
0.4927299316615513,4.927299316615546,89.45801549165466
0.42432844463206043,4.243284446320632,93.70129993797529
0.3157175337208017,3.1571753372080376,96.85847527518334
0.16701930573792975,1.6701930573793087,98.52866833256265
0.14713316674373533,1.471331667437363,100
